,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
103,9.475122039683631,1.1700822259739534,-8.305039813709682,0.0032162355459932,4.4797762802146414e-08,0.0146892748616709,0.0,1.0,ENSMUST00000038197,ENSMUSG00000039956,0.45703125,4,0,0,0,0,1,2,1.0,2,0,0,1,0,0,0,0,1,1,0,0,-8.280411216269522,-8.280411216269522,blue
149,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,-8.003942324431707,blue
72,8.197879840330238,0.7121794332856156,-7.485700407044617,0.0045323395949355,1.4725724734234558e-08,0.0275923003323009,0.0,1.0,ENSMUST00000006911-0,ENSMUSG00000006728,0.0490566037735849,3,1,1,0,0,1,8,0.0,1,0,2,1,1,0,0,0,1,7,0,2,-7.785528322538452,-7.785528322538452,blue
139,9.667176147448632,1.5291097712987891,-8.13806637614985,0.0050054652677521,1.9588325725716323e-08,0.025420418357051,0.0,1.0,ENSMUST00000089377-0,ENSMUSG00000068220,0.0,1,0,1,0,0,1,5,0.0,2,0,0,0,0,1,0,0,1,4,0,0,-7.642280108052134,-7.642280108052134,blue
116,8.821268893539793,1.400182428830119,-7.421086464709671,0.0058056885658158,1.9659926099207814e-07,0.0332472794901142,0.0,1.0,ENSMUST00000059802,ENSMUSG00000048758,0.8415841584158416,3,0,0,1,2,1,4,1.0,2,0,0,1,0,0,1,1,1,3,0,0,-7.4283171010206095,-7.4283171010206095,blue
91,7.327282782597442,0.3646535384096126,-6.962629244187835,0.0062231360111571,8.259253522614772e-08,0.0280533929251165,0.0,1.0,ENSMUST00000027726,ENSMUSG00000026456,0.0,2,0,0,0,0,1,4,1.0,2,0,0,0,0,0,0,0,1,3,0,0,-7.328142506944346,-7.328142506944346,blue
96,9.465432047554634,2.6974198084532865,-6.768012239101353,0.0066036578081371,9.49956690338254e-08,0.028165421303726,0.0,1.0,ENSMUST00000032597-0,ENSMUSG00000030432,0.0,4,0,0,0,0,1,2,1.0,2,0,1,0,0,0,0,0,1,1,0,1,-7.2425189208152565,-7.2425189208152565,blue
223,7.432017987367318,0.3596764704650951,-7.072341516902225,0.0066856703715835,2.2625046807510893e-07,0.0364104520953281,0.0,1.0,ENSMUST00000193210-0,ENSMUSG00000061518,0.875,3,0,1,0,0,1,2,0.0,1,0,0,1,0,1,0,0,1,1,0,0,-7.224712058184919,-7.224712058184919,blue
160,8.195574665896318,0.6258336851248272,-7.569740980771479,0.0068537229162438,5.378063829289765e-08,0.0363028066824036,0.0,1.0,ENSMUST00000109682,ENSMUSG00000047459,0.0,3,1,1,0,0,1,4,1.0,2,0,0,0,1,0,0,0,1,3,0,0,-7.188896417205555,-7.188896417205555,blue
29,7.1673935939112985,0.3546807150382765,-6.812712878873025,0.0070751833240789,1.7440781991549428e-10,0.0338621189474431,0.0,1.0,4ed9c5b2-0986-448b-85dd-8b7ea6379dfa-0,ENSMUSG00000078427,1.0,2,1,1,0,0,1,9,0.0,1,0,0,1,1,0,0,0,1,8,0,0,-7.143016754765198,-7.143016754765198,blue
93,7.5069822415643985,0.3613904624988873,-7.145591779065516,0.0073747374954397,7.981920796529937e-11,0.027464099961743,0.0,1.0,ENSMUST00000030501-0,ENSMUSG00000028729,0.0,1,0,0,1,1,1,9,1.0,2,0,0,0,0,0,1,0,1,8,0,0,-7.083192587268715,-7.083192587268715,blue
86,7.430237288167245,0.3645928590214297,-7.065644429145809,0.0074211351099217,1.8486383073767365e-09,0.039234179604769,0.0,1.0,ENSMUST00000023243,ENSMUSG00000022579,0.0,2,0,0,0,0,1,4,0.0,1,0,0,0,0,0,0,0,1,3,0,0,-7.074144411534809,-7.074144411534809,blue
216,7.316751186991207,0.3677286926070841,-6.949022494384135,0.0075008942918196,7.270269046324146e-07,0.0375730456944942,0.0,1.0,ENSMUST00000177005-0,ENSMUSG00000001418,0.0,1,1,1,1,1,1,5,0.0,1,0,1,0,1,0,1,0,1,4,0,1,-7.058721673925714,-7.058721673925714,blue
111,7.301982816504285,0.3687261508414242,-6.933256665662863,0.0075022616908868,5.677997643027556e-10,0.0338181017873669,0.0,1.0,ENSMUST00000051698-0,ENSMUSG00000022587,0.2326820603907637,7,0,1,0,0,1,5,0.0,1,0,1,3,0,1,0,0,1,4,0,1,-7.058458697274547,-7.058458697274547,blue
174,7.138415561548687,0.3613209840667508,-6.77709457748193,0.0080552086875085,1.1868138797884028e-08,0.0390691881862915,0.0,1.0,ENSMUST00000126534-0,ENSMUSG00000033685,0.0,2,0,0,0,0,1,2,0.0,1,0,0,0,0,0,0,0,1,1,0,0,-6.955862319127684,-6.955862319127684,blue
106,7.260812874192412,0.3559706402001706,-6.904842233992233,0.0084218567222869,6.906400050991036e-09,0.0406808451873712,0.0,1.0,ENSMUST00000043074,ENSMUSG00000038274,0.258575197889182,4,0,0,0,0,1,5,0.9090909090909092,3,0,3,1,0,0,0,0,1,4,0,3,-6.891645952945682,-6.891645952945682,blue
113,7.098274547938837,0.3581391132984607,-6.740135434640368,0.0084369777383079,2.069673825317956e-07,0.0542714840743456,0.0,1.0,ENSMUST00000054680-0,ENSMUSG00000044876,0.0044945800652154,3,0,1,1,1,1,3,1.0,2,0,0,1,0,1,1,0,1,2,0,0,-6.889057989853988,-6.889057989853988,blue
177,7.040643667839354,0.3630286019538101,-6.677615065885525,0.0090569467343769,2.4011924070494535e-07,0.0462515204311336,0.0,1.0,ENSMUST00000129339-0,ENSMUSG00000025967,0.0175849941383352,3,1,1,0,1,2,5,1.0,2,0,1,1,1,0,0,1,2,3,0,1,-6.7867595118278565,-6.7867595118278565,blue
176,7.040643667839354,0.3630286019538101,-6.677615065885525,0.0090569467343769,2.4011924070494535e-07,0.0462515204311336,0.0,1.0,ENSMUST00000129339-0,ENSMUSG00000025967,0.0175849941383352,3,1,1,0,1,2,5,1.0,2,0,1,1,1,0,0,1,2,3,0,1,-6.7867595118278565,-6.7867595118278565,blue
55,7.418505654662591,0.3633742325850515,-7.055131422077534,0.0091520224291433,5.093804315344089e-09,0.0434203861718442,0.0,1.0,93d7d7f4-e38c-4194-92d4-24ebb005ac2c-0,ENSMUSG00000025858,0.0387531592249368,3,0,0,0,1,1,7,0.7518900343642612,3,0,1,1,0,0,0,1,1,6,0,1,-6.771693696884273,-6.771693696884273,blue
98,7.493166453560778,0.3581663622493425,-7.135000091311428,0.0093545529053635,2.557724146942483e-08,0.046858172996548,0.0,1.0,ENSMUST00000033241,ENSMUSG00000030946,0.0,1,3,3,0,0,1,7,0.0,1,0,0,0,3,0,0,0,1,6,0,0,-6.740115582198574,-6.740115582198574,blue
85,7.110659839323967,0.3590369414854721,-6.75162289783849,0.0095326355963838,1.9324696058730898e-07,0.0576249153630852,0.0,1.0,ENSMUST00000023225,ENSMUSG00000022564,0.0,2,0,0,0,0,1,6,0.0,1,0,2,0,0,0,0,0,1,5,0,2,-6.712909137038612,-6.712909137038612,blue
156,7.343567982491691,0.3607525727676583,-6.982815409724043,0.0096382292682114,1.0287021790388977e-07,0.0448538673967678,0.0,1.0,ENSMUST00000108275-0,ENSMUSG00000001105,0.7321428571428571,4,0,1,0,0,1,6,1.0,3,0,3,2,0,1,0,0,1,5,0,3,-6.697016165242456,-6.697016165242456,blue
120,7.248314178208322,0.3552767548577325,-6.893037423350581,0.0105146061072876,3.7145672647623054e-10,0.0458775248567925,0.0,1.0,ENSMUST00000065373,ENSMUSG00000025940,0.1034482758620689,3,0,0,0,0,1,2,1.0,2,0,0,1,0,0,0,0,1,1,0,0,-6.57146138418499,-6.57146138418499,blue
63,7.190032939579022,0.3608690374739245,-6.829163902105093,0.0107363402270518,5.989083116879948e-07,0.0533660791284871,0.0,1.0,ENSMUST00000002112,ENSMUSG00000002043,0.9640718562874252,4,1,1,0,0,1,6,0.0,1,0,0,1,1,0,0,0,1,5,0,0,-6.541353894410962,-6.541353894410962,blue
237,7.182274585209856,0.3556615906232573,-6.8266129945866085,0.0107718530928068,3.123699941252158e-08,0.0468909158004983,0.0,1.0,ENSMUST00000224188,ENSMUSG00000093930,1.0,2,0,0,0,0,1,10,1.0,2,0,0,1,0,0,0,0,1,9,0,0,-6.536589730251794,-6.536589730251794,blue
110,7.16339469307204,0.3625558462298995,-6.8008388468421375,0.011699435063647,5.127027745159588e-08,0.0538689203070227,0.0,1.0,ENSMUST00000049093,ENSMUSG00000038393,1.0,2,0,0,0,0,1,7,0.0,1,0,1,1,0,0,0,0,1,6,0,1,-6.417417322406427,-6.417417322406427,blue
125,7.022232839643115,0.3614981536411305,-6.6607346860019865,0.0118632996792381,2.537895861339904e-10,0.0623034682902636,0.0,1.0,ENSMUST00000070877-0,ENSMUSG00000022244,0.0,1,0,0,0,0,1,3,0.0,1,0,0,0,0,0,0,0,1,2,0,0,-6.3973508503145355,-6.3973508503145355,blue
32,6.960550501257536,0.35504216623836,-6.605508335019183,0.012623459679765,2.583021289394975e-08,0.0675769177549944,0.0,1.0,53dd8e3e-ea73-48b3-bb82-c9b11b5e75a2-0,ENSMUSG00000040385,1.0,3,0,0,0,0,1,6,0.0,1,0,2,2,0,0,0,0,1,5,0,2,-6.307748829469626,-6.307748829469626,blue
