,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
1973,9.977906598969382,1.649163587114315,-8.32874301185507,0.0021187790408788,4.547782307525151e-08,0.0091826718079576,0.0,1.0,ENSMUST00000176010-0,ENSMUSG00000093674,0.15,6,2,2,0,0,0,0,0.0,1,0,1,2,2,0,0,0,0,0,0,1,-8.882551142091124,-8.882551142091124,blue
1974,9.977906598969382,1.649163587114315,-8.32874301185507,0.0021187790408788,4.547782307525151e-08,0.0091826718079576,0.0,1.0,ENSMUST00000176010-0,ENSMUSG00000093674,0.15,6,2,2,0,0,0,0,0.0,1,0,1,2,2,0,0,0,0,0,0,1,-8.882551142091124,-8.882551142091124,blue
961,9.210965060513107,1.3526467529092558,-7.858318307603846,0.0034333144316495,9.930059000773982e-09,0.0165722682251076,0.0,1.0,ENSMUST00000034552,ENSMUSG00000032051,0.0006734460233012,3,1,2,0,0,0,0,1.0,2,0,0,1,1,1,0,0,0,0,0,0,-8.186182295642901,-8.186182295642901,blue
840,9.659506908953976,1.1173584600113782,-8.542148448942603,0.0038202535260343,4.477953405286378e-12,0.0172204071899069,0.0,1.0,ENSMUST00000030455,ENSMUSG00000028692,0.0,2,6,6,0,0,0,0,0.0,1,0,0,0,6,0,0,0,0,0,0,0,-8.032115900690188,-8.032115900690188,blue
841,9.659506908953976,1.1173584600113782,-8.542148448942603,0.0038202535260343,4.477953405286378e-12,0.0172204071899069,0.0,1.0,ENSMUST00000030455,ENSMUSG00000028692,0.0,2,6,6,0,0,0,0,0.0,1,0,0,0,6,0,0,0,0,0,0,0,-8.032115900690188,-8.032115900690188,blue
842,9.659506908953976,1.1173584600113782,-8.542148448942603,0.0038202535260343,4.477953405286378e-12,0.0172204071899069,0.0,1.0,ENSMUST00000030455,ENSMUSG00000028692,0.0,2,6,6,0,0,0,0,0.0,1,0,0,0,6,0,0,0,0,0,0,0,-8.032115900690188,-8.032115900690188,blue
843,9.659506908953976,1.1173584600113782,-8.542148448942603,0.0038202535260343,4.477953405286378e-12,0.0172204071899069,0.0,1.0,ENSMUST00000030455,ENSMUSG00000028692,0.0,2,6,6,0,0,0,0,0.0,1,0,0,0,6,0,0,0,0,0,0,0,-8.032115900690188,-8.032115900690188,blue
839,9.659506908953976,1.1173584600113782,-8.542148448942603,0.0038202535260343,4.477953405286378e-12,0.0172204071899069,0.0,1.0,ENSMUST00000030455,ENSMUSG00000028692,0.0,2,6,6,0,0,0,0,0.0,1,0,0,0,6,0,0,0,0,0,0,0,-8.032115900690188,-8.032115900690188,blue
838,9.659506908953976,1.1173584600113782,-8.542148448942603,0.0038202535260343,4.477953405286378e-12,0.0172204071899069,0.0,1.0,ENSMUST00000030455,ENSMUSG00000028692,0.0,2,6,6,0,0,0,0,0.0,1,0,0,0,6,0,0,0,0,0,0,0,-8.032115900690188,-8.032115900690188,blue
684,8.84785029741928,0.7012394262814613,-8.146610871137819,0.0040307008528694,1.0360252145306307e-08,0.0191408450222653,0.0,1.0,ENSMUST00000023934,ENSMUSG00000052305,0.0,1,1,1,0,0,0,0,0.0,2,0,0,0,1,0,0,0,0,0,0,0,-7.954753570214515,-7.954753570214515,blue
