,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
70,9.657695047751808,1.5208449840479372,-8.136850063703866,0.0043037062480995,1.0278830279349484e-07,0.0171798696330208,0.0,1.0,ENSMUST00000027472,ENSMUSG00000026255,0.0,2,1,1,0,0,0,0,1.0,2,1,1,0,1,0,0,0,0,0,1,0,-7.860204675371857,-7.860204675371857,blue
114,7.727343717048838,0.3633305309254774,-7.364013186123364,0.0061824275005692,1.4110105302181236e-08,0.0297856574329704,0.0,1.0,ENSMUST00000132034,ENSMUSG00000038803,1.0,2,0,0,0,0,0,0,0.0,1,1,1,1,0,0,0,0,0,0,1,0,-7.337610867989867,-7.337610867989867,blue
81,7.1873550311222605,0.3621251048246994,-6.825229926297554,0.0073892536413383,5.1586264640225434e-08,0.0336269858246689,0.0,1.0,ENSMUST00000051633,ENSMUSG00000047719,0.0,1,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,1,0,-7.080355633730189,-7.080355633730189,blue
97,7.188888097515791,0.3570960179974343,-6.831792079518362,0.0096340030766955,5.3327620268762875e-09,0.0551620844792047,0.0,1.0,ENSMUST00000112295-0,ENSMUSG00000070284,0.0,1,0,0,0,1,0,0,1.0,2,1,1,0,0,0,0,1,0,0,1,0,-6.6976489000009884,-6.6976489000009884,blue
145,6.75733570305279,0.3558451445942731,-6.401490558458517,0.010663884870553,1.1101453100278854e-08,0.0573962060689543,0.0,1.0,ENSMUST00000211807,ENSMUSG00000031765,1.0,3,0,0,0,0,0,0,0.0,1,2,2,2,0,0,0,0,0,0,2,0,-6.551123079777104,-6.551123079777104,blue
146,6.75733570305279,0.3558451445942731,-6.401490558458517,0.010663884870553,1.1101453100278854e-08,0.0573962060689543,0.0,1.0,ENSMUST00000211807,ENSMUSG00000031765,1.0,3,0,0,0,0,0,0,0.0,1,2,2,2,0,0,0,0,0,0,2,0,-6.551123079777104,-6.551123079777104,blue
138,6.738803525280704,0.471411043600231,-6.267392481680479,0.0118808762717503,2.6207077877616015e-07,0.0508304872729811,0.0,1.0,ENSMUST00000177840,ENSMUSG00000025510,0.0096989966555183,5,0,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0,0,1,0,-6.3952149440159,-6.3952149440159,blue
67,7.154767824189021,0.3565088320814179,-6.798258992107606,0.011976934561265,3.759564237541259e-08,0.06514726296943,0.0,1.0,ENSMUST00000020454,ENSMUSG00000020232,0.0149333333333333,5,0,0,0,0,0,10,0.0,1,1,1,2,0,0,0,0,0,10,1,0,-6.383597485251597,-6.383597485251597,blue
141,6.999746065946357,0.3530888492584541,-6.646657216687897,0.0127150289250029,5.584789316862132e-08,0.072029902994374,0.0,1.0,ENSMUST00000199195,ENSMUSG00000010406,0.1478873239436619,6,1,1,0,0,0,0,0.0,1,1,2,3,1,0,0,0,0,0,1,1,-6.29732144580327,-6.29732144580327,blue
20,8.352225739463243,3.626781984628279,-4.725443754834966,0.0265091163160113,5.6118857972348014e-05,0.1072894092873786,0.0,1.0,2ace1dbb-462d-4fde-9a4b-a537c35f8433-0,ENSMUSG00000035242,1.0,4,0,2,0,0,0,5,1.0,3,1,2,3,0,2,0,0,0,5,1,1,-5.237367611148474,-5.237367611148474,blue
62,5.861450488989117,0.7624096278236411,-5.09904086116548,0.026536114658353,4.232694198304384e-07,0.1089285725843099,0.0,1.0,ENSMUST00000009039,ENSMUSG00000058600,0.5710382513661202,4,0,0,0,0,0,0,0.0,2,1,3,1,0,0,0,0,0,0,1,2,-5.2358990388656705,-5.2358990388656705,blue
166,5.559865332628152,0.4706904178565084,-5.089174914771645,0.0274363522383639,5.996766369585017e-06,0.1309632693631924,0.0,1.0,ENSMUST00000239369-0,ENSMUSG00000097195,1.0,4,2,2,0,0,0,6,1.0,2,1,4,3,2,0,0,0,0,6,1,3,-5.1877675070048355,-5.1877675070048355,blue
7,5.417225673837265,0.7745675433136376,-4.642658130523631,0.0309820701788477,1.529524827854037e-05,0.1262207941752777,0.0,1.0,0b411a11-d1bd-490c-8d5f-7f1a61f49c35-0,ENSMUSG00000096768,1.0,4,0,0,1,1,0,0,0.0,1,2,2,3,0,0,1,0,0,0,2,0,-5.012422643549966,-5.012422643549966,blue
6,5.417225673837265,0.7745675433136376,-4.642658130523631,0.0309820701788477,1.529524827854037e-05,0.1262207941752777,0.0,1.0,0b411a11-d1bd-490c-8d5f-7f1a61f49c35-0,ENSMUSG00000096768,1.0,4,0,0,1,1,0,0,0.0,1,2,2,3,0,0,1,0,0,0,2,0,-5.012422643549966,-5.012422643549966,blue
100,5.066692568264245,0.6248307430899331,-4.441861825174311,0.0336216655742411,2.3431429974911968e-05,0.1515944264418602,0.0,1.0,ENSMUST00000113979-0,ENSMUSG00000026000,0.0,1,1,1,0,1,0,0,0.0,1,1,1,0,1,0,0,1,0,0,1,0,-4.894464994166195,-4.894464994166195,blue
127,4.118217847232421,1.2048818214160422,-2.9133360258163736,0.0890286339178449,0.0007371663993582,0.2683638307544373,0.0,1.0,ENSMUST00000148900,ENSMUSG00000037266,0.0,3,0,0,0,0,0,5,1.0,2,1,2,0,0,0,0,0,0,5,1,1,-3.4895867709161594,-3.4895867709161594,blue
