,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
2451,9.475122039683631,1.1700822259739534,-8.305039813709682,0.0032162355459932,4.4797762802146414e-08,0.0146892748616709,0.0,1.0,ENSMUST00000038197,ENSMUSG00000039956,0.45703125,4,0,0,0,0,1,2,1.0,2,0,0,1,0,0,0,0,1,1,0,0,-8.280411216269522,blue
2517,8.504597247041222,0.6950016456012935,-7.809595601439935,0.0033863842826305,2.171328869482324e-08,0.0168773163437612,0.0,1.0,ENSMUST00000043931,ENSMUSG00000034566,0.2221928665785997,7,0,0,0,0,0,5,0.0,1,0,0,1,0,0,0,0,0,5,0,0,-8.206038586919473,blue
2520,8.504597247041222,0.6950016456012935,-7.809595601439935,0.0033863842826305,2.171328869482324e-08,0.0168773163437612,0.0,1.0,ENSMUST00000043931,ENSMUSG00000034566,0.2221928665785997,7,0,0,0,0,0,5,0.0,1,0,0,1,0,0,0,0,0,5,0,0,-8.206038586919473,blue
2519,8.504597247041222,0.6950016456012935,-7.809595601439935,0.0033863842826305,2.171328869482324e-08,0.0168773163437612,0.0,1.0,ENSMUST00000043931,ENSMUSG00000034566,0.2221928665785997,7,0,0,0,0,0,5,0.0,1,0,0,1,0,0,0,0,0,5,0,0,-8.206038586919473,blue
2518,8.504597247041222,0.6950016456012935,-7.809595601439935,0.0033863842826305,2.171328869482324e-08,0.0168773163437612,0.0,1.0,ENSMUST00000043931,ENSMUSG00000034566,0.2221928665785997,7,0,0,0,0,0,5,0.0,1,0,0,1,0,0,0,0,0,5,0,0,-8.206038586919473,blue
2521,8.504597247041222,0.6950016456012935,-7.809595601439935,0.0033863842826305,2.171328869482324e-08,0.0168773163437612,0.0,1.0,ENSMUST00000043931,ENSMUSG00000034566,0.2221928665785997,7,0,0,0,0,0,5,0.0,1,0,0,1,0,0,0,0,0,5,0,0,-8.206038586919473,blue
3529,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3528,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3526,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3525,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3518,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3519,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3530,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3527,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3517,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3524,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3523,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3522,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3521,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
3520,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
1838,9.15297167418042,1.4926577980394549,-7.66031387614096,0.0044543237032052,1.6776050900008598e-07,0.0237757578932496,0.0,1.0,ENSMUST00000019382,ENSMUSG00000031708,0.000320029259818,7,8,8,0,0,0,1,0.0,1,0,4,1,8,0,0,0,0,1,0,4,-7.810577879648322,blue
