,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
273,8.377462781536874,0.7631239109395331,-7.614338870597327,0.0044641601529886,8.963319044526049e-08,0.0217070085745635,0.0,1.0,ENSMUST00000021933-0,ENSMUSG00000021477,0.0,2,0,0,0,2,0,4,1.0,3,0,0,0,0,0,0,2,0,4,0,0,-7.807395499480233,-7.807395499480233,blue
272,8.377462781536874,0.7631239109395331,-7.614338870597327,0.0044641601529886,8.963319044526049e-08,0.0217070085745635,0.0,1.0,ENSMUST00000021933-0,ENSMUSG00000021477,0.0,2,0,0,0,2,0,4,1.0,3,0,0,0,0,0,0,2,0,4,0,0,-7.807395499480233,-7.807395499480233,blue
233,9.347534870557148,1.3320808658174494,-8.015454004739704,0.0049667011233424,8.176671468898238e-09,0.0217270162330986,0.0,1.0,ENSMUST00000004375,ENSMUSG00000004264,0.0,2,1,1,0,1,0,0,1.0,2,0,2,0,1,0,0,1,0,0,0,2,-7.6534963510226515,-7.6534963510226515,blue
609,9.60488571449557,1.8629081480592555,-7.741977566436313,0.0051430377011882,6.63360727673175e-08,0.0217885319554487,0.0,1.0,ENSMUST00000125184-0,ENSMUSG00000090137,0.3786078098471986,7,0,0,0,1,0,0,0.0,1,0,0,3,0,0,0,1,0,0,0,0,-7.6031635552147865,-7.6031635552147865,blue
266,7.953158521391182,0.510805853245914,-7.442352668145259,0.0055231921220787,3.1847519157966924e-08,0.0313446205321017,0.0,1.0,ENSMUST00000020440-0,ENSMUSG00000020219,1.0,2,0,0,0,1,0,3,0.4413145539906103,3,0,0,1,0,0,0,1,0,3,0,0,-7.500281972797301,-7.500281972797301,blue
709,7.999172670500594,0.6506893904823585,-7.348483280018233,0.0055636614990016,4.1355680086735956e-08,0.0239195336496535,0.0,1.0,ENSMUST00000159283-0,ENSMUSG00000032575,0.0,2,1,1,0,1,0,6,0.0613449815197043,3,0,0,0,1,0,0,1,0,6,0,0,-7.489749637709234,-7.489749637709234,blue
239,7.4627585744971645,0.3618312262156059,-7.100927348281558,0.0055685453047438,3.167641105340186e-07,0.0247642670933333,0.0,1.0,ENSMUST00000006254-0,ENSMUSG00000006095,0.098829399347534,3,0,0,0,1,0,0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,-7.488483789364664,-7.488483789364664,blue
301,9.189482992199984,2.039581947988203,-7.149901044211789,0.0056136909234307,2.4020492891002454e-07,0.0242642949461887,0.0,1.0,ENSMUST00000027123,ENSMUSG00000025980,0.5793650793650794,3,0,0,0,1,0,0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,-7.476834650008078,-7.476834650008078,blue
279,9.309766731289397,1.2222995470132014,-8.087467184276209,0.0056456747346037,3.001535332248877e-10,0.0351083039692786,0.0,1.0,ENSMUST00000023608,ENSMUSG00000022890,0.0,7,0,1,0,1,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,-7.468638271760366,-7.468638271760366,blue
410,8.821268893539793,1.400182428830119,-7.421086464709671,0.0058056885658158,1.9659926099207814e-07,0.0332472794901142,0.0,1.0,ENSMUST00000059802,ENSMUSG00000048758,0.8415841584158416,3,0,0,1,2,1,4,1.0,2,0,0,1,0,0,1,1,1,3,0,0,-7.4283171010206095,-7.4283171010206095,blue
