,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
490,9.210965060513107,1.3526467529092558,-7.858318307603846,0.0034333144316495,9.930059000773982e-09,0.0165722682251076,0.0,1.0,ENSMUST00000034552,ENSMUSG00000032051,0.0006734460233012,3,1,2,0,0,0,0,1.0,2,0,0,1,1,1,0,0,0,0,0,0,-8.186182295642901,blue
650,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,blue
614,9.667176147448632,1.5291097712987891,-8.13806637614985,0.0050054652677521,1.9588325725716323e-08,0.025420418357051,0.0,1.0,ENSMUST00000089377-0,ENSMUSG00000068220,0.0,1,0,1,0,0,1,5,0.0,2,0,0,0,0,1,0,0,1,4,0,0,-7.642280108052134,blue
395,7.49344540195775,0.36560296872054,-7.127842433237212,0.0053846715009487,1.374805262456991e-07,0.0219666122141652,0.0,1.0,ENSMUST00000000844-1,ENSMUSG00000000827,0.0029879831113998,6,1,2,0,0,0,0,0.3722627737226277,3,0,0,3,1,1,0,0,0,0,0,0,-7.536925950739055,blue
444,9.309766731289397,1.2222995470132014,-8.087467184276209,0.0056456747346037,3.001535332248877e-10,0.0351083039692786,0.0,1.0,ENSMUST00000023608,ENSMUSG00000022890,0.0,7,0,1,0,1,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,-7.468638271760366,blue
901,7.559258479397699,0.3667757694814893,-7.192482709916205,0.005953751912003,1.3071846686054431e-09,0.0305550593830975,0.0,1.0,ENSMUST00000191142-0,ENSMUSG00000026020,1.0,2,0,1,0,0,0,13,0.0,1,0,0,1,0,1,0,0,0,13,0,0,-7.391985177761968,blue
623,7.931571302592541,0.6970098947544681,-7.234561407838065,0.0060474978722544,1.697094205270987e-07,0.0376152960098793,0.0,1.0,ENSMUST00000093955,ENSMUSG00000020485,0.0,1,1,2,0,0,0,6,0.0,2,0,0,0,1,1,0,0,0,6,0,0,-7.369445928053177,blue
419,7.306948898791107,0.3564650098403957,-6.950483888950707,0.006310455389098,1.0040822601958293e-07,0.0362315613907788,0.0,1.0,ENSMUST00000019470,ENSMUSG00000078652,0.0,1,0,1,1,1,0,0,1.0,2,0,3,0,0,1,1,0,0,0,0,3,-7.308040164733614,blue
604,7.07718719409523,0.3632023292497944,-6.7139848648454405,0.006499857841033,4.4767942022873115e-08,0.0252730185683384,0.0,1.0,ENSMUST00000080537-0,ENSMUSG00000001847,0.0,1,2,3,0,0,0,0,1.0,2,0,0,0,2,1,0,0,0,0,0,0,-7.26537611948707,blue
904,7.432017987367318,0.3596764704650951,-7.072341516902225,0.0066856703715835,2.2625046807510893e-07,0.0364104520953281,0.0,1.0,ENSMUST00000193210-0,ENSMUSG00000061518,0.875,3,0,1,0,0,1,2,0.0,1,0,0,1,0,1,0,0,1,1,0,0,-7.224712058184919,blue
522,7.443633906849645,0.4586587966949711,-6.984975110154676,0.0067255737377694,1.572826132398518e-08,0.0357409433438481,0.0,1.0,ENSMUST00000046746,ENSMUSG00000036256,0.0,2,0,1,0,0,0,6,1.0,2,0,0,0,0,1,0,0,0,6,0,0,-7.2161269399179995,blue
234,7.381577153780804,0.3588242006711423,-7.022752953109666,0.0070132396056879,1.2481544280700978e-07,0.032324346431649,0.0,1.0,5dc57e2b-1dd0-41e0-a7ea-27aa2e8a9cf2-0,ENSMUSG00000063179,0.0087219054008721,6,1,3,0,0,0,0,0.0,1,0,0,3,1,2,0,0,0,0,0,0,-7.155703266471106,blue
233,7.381577153780804,0.3588242006711423,-7.022752953109666,0.0070132396056879,1.2481544280700978e-07,0.032324346431649,0.0,1.0,5dc57e2b-1dd0-41e0-a7ea-27aa2e8a9cf2-0,ENSMUSG00000063179,0.0087219054008721,6,1,3,0,0,0,0,0.0,1,0,0,3,1,2,0,0,0,0,0,0,-7.155703266471106,blue
613,7.456212910070354,0.3615837162816983,-7.094629193788657,0.0072626848332614,1.560864816870999e-07,0.0408208933461888,0.0,1.0,ENSMUST00000089230-0,ENSMUSG00000022052,0.0,2,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,-7.105281309499634,blue
682,7.297395996137422,0.4908413257008891,-6.80655467043653,0.0074645902841782,1.3934081793904206e-07,0.0372957494573847,0.0,1.0,ENSMUST00000109207-0,ENSMUSG00000078923,0.0,3,0,1,0,1,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,-7.065721208656721,blue
850,7.139419217517522,0.3576190553081329,-6.781800162209384,0.0074704295166093,9.160300299188933e-08,0.029107225721997,0.0,1.0,ENSMUST00000161568-1,ENSMUSG00000012422,0.0,1,0,1,0,0,0,0,1.0,2,0,0,0,0,1,0,0,0,0,0,0,-7.064593090688006,blue
535,7.301982816504285,0.3687261508414242,-6.933256665662863,0.0075022616908868,5.677997643027556e-10,0.0338181017873669,0.0,1.0,ENSMUST00000051698-0,ENSMUSG00000022587,0.2326820603907637,7,0,1,0,0,1,5,0.0,1,0,1,3,0,1,0,0,1,4,0,1,-7.058458697274547,blue
830,7.325280782941003,0.3655355477187348,-6.959745235222265,0.0076013439761536,3.5930392707391285e-08,0.0343616556321384,0.0,1.0,ENSMUST00000156963-0,ENSMUSG00000059518,0.401006711409396,4,0,1,0,0,0,0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,-7.039529763959637,blue
470,7.164555880476112,0.3613788476317793,-6.803177032844329,0.0076518029463065,1.975041726490235e-07,0.0373628712182776,0.0,1.0,ENSMUST00000030013,ENSMUSG00000028329,0.0,1,1,2,0,0,0,0,0.0,2,0,0,0,1,1,0,0,0,0,0,0,-7.02998456362403,blue
434,8.202993465668674,0.9012556876160432,-7.301737778052622,0.0077117002437231,9.382307493514483e-09,0.0467650205485445,0.0,1.0,ENSMUST00000021559-0,ENSMUSG00000021131,0.0,1,1,2,0,0,0,0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,-7.018735310026126,blue
510,7.17907755850463,0.3586162005336418,-6.820461357970991,0.0078429297031431,1.0803616425948811e-09,0.042336140440379,0.0,1.0,ENSMUST00000042167,ENSMUSG00000039007,0.0,4,0,1,0,0,0,0,1.0,2,0,0,0,0,1,0,0,0,0,0,0,-6.9943916151854015,blue
944,7.415521331582901,0.3638059306703644,-7.051715400912538,0.007947047322375,6.829368234737664e-09,0.0464852923220671,0.0,1.0,ENSMUST00000214644,ENSMUSG00000000296,0.7410071942446043,3,0,1,0,0,0,6,0.0,1,0,0,1,0,1,0,0,0,6,0,0,-6.9753653493749,blue
542,7.431171707758881,0.3618169671802038,-7.06935474057868,0.0080493895395447,6.923649595024446e-08,0.0426744470672516,0.0,1.0,ENSMUST00000055242-0,ENSMUSG00000002981,0.0,2,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,-6.956904910337546,blue
485,7.729521968041424,0.3662707264400225,-7.363251241601399,0.0080634213543683,4.707555247353296e-08,0.0452334337420426,0.0,1.0,ENSMUST00000034277-0,ENSMUSG00000031819,0.0,3,1,2,0,0,0,0,0.0,1,0,1,0,1,1,0,0,0,0,0,1,-6.954392172502863,blue
729,7.333472737884258,0.361512252661471,-6.971960485222787,0.0082823962479668,4.258129184243005e-08,0.0472670525354156,0.0,1.0,ENSMUST00000116420-0,ENSMUSG00000034442,0.0,1,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,-6.91573605861433,blue
149,7.241552709244812,0.3617699537607139,-6.879782755484099,0.0083373822157805,5.549229064131303e-09,0.0389605450529724,0.0,1.0,3c737cee-ceda-4c37-b1f4-a4c91e03e2f2-0,ENSMUSG00000028218,0.475095785440613,3,1,2,0,0,0,6,0.0,1,0,0,1,1,1,0,0,0,6,0,0,-6.906189809523444,blue
463,7.417892961135839,0.365120008741208,-7.0527729523946325,0.0083735095913602,2.1596917425573347e-09,0.0417843999170668,0.0,1.0,ENSMUST00000028509,ENSMUSG00000014959,0.0,3,0,1,0,0,0,0,1.0,2,0,0,0,0,1,0,0,0,0,0,0,-6.89995185796559,blue
539,7.098274547938837,0.3581391132984607,-6.740135434640368,0.0084369777383079,2.069673825317956e-07,0.0542714840743456,0.0,1.0,ENSMUST00000054680-0,ENSMUSG00000044876,0.0044945800652154,3,0,1,1,1,1,3,1.0,2,0,0,1,0,1,1,0,1,2,0,0,-6.889057989853988,blue
669,8.352960244878478,1.6884386651062515,-6.664521579772225,0.0087561530973022,3.646278461068346e-07,0.0415608428138735,0.0,1.0,ENSMUST00000108430-0,ENSMUSG00000040952,0.0640878919661249,6,2,3,1,3,0,0,1.0,2,0,1,2,2,1,1,2,0,0,0,1,-6.8354871050646855,blue
531,7.059676890419217,0.3664772471333505,-6.693199643285868,0.0087650815911359,8.917752401321375e-08,0.0356677113511666,0.0,1.0,ENSMUST00000050584,ENSMUSG00000046727,0.0,2,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,-6.83401676406184,blue
494,7.186375073920815,0.3638663526642756,-6.822508721256543,0.0089874046664693,2.2551179813179362e-10,0.0403626928446468,0.0,1.0,ENSMUST00000036274-0,ENSMUSG00000035227,0.0,2,0,1,0,0,0,0,1.0,2,0,0,0,0,1,0,0,0,0,0,0,-6.797879722358155,blue
674,7.330791305982274,0.5797911657429752,-6.751000140239293,0.0090151850839474,7.25589245032777e-08,0.0481510069026563,0.0,1.0,ENSMUST00000108613,ENSMUSG00000078812,0.0,6,0,2,0,0,0,0,0.0,1,0,0,0,0,2,0,0,0,0,0,0,-6.79342717381955,blue
675,7.330791305982274,0.5797911657429752,-6.751000140239293,0.0090151850839474,7.25589245032777e-08,0.0481510069026563,0.0,1.0,ENSMUST00000108613,ENSMUSG00000078812,0.0,6,0,2,0,0,0,0,0.0,1,0,0,0,0,2,0,0,0,0,0,0,-6.79342717381955,blue
552,7.227279367881104,0.3631185671229539,-6.864160800758154,0.0090300233122784,6.941263950673745e-08,0.0426638130655852,0.0,1.0,ENSMUST00000059472,ENSMUSG00000053907,0.0,3,0,1,0,0,0,10,1.0,2,0,2,0,0,1,0,0,0,10,0,2,-6.79105457243048,blue
