,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
1007,9.977906598969382,1.649163587114315,-8.32874301185507,0.0021187790408788,4.547782307525151e-08,0.0091826718079576,0.0,1.0,ENSMUST00000176010-0,ENSMUSG00000093674,0.15,6,2,2,0,0,0,0,0.0,1,0,1,2,2,0,0,0,0,0,0,1,-8.882551142091124,blue
350,9.15297167418042,1.4926577980394549,-7.66031387614096,0.0044543237032052,1.6776050900008598e-07,0.0237757578932496,0.0,1.0,ENSMUST00000019382,ENSMUSG00000031708,0.000320029259818,7,8,8,0,0,0,1,0.0,1,0,4,1,8,0,0,0,0,1,0,4,-7.810577879648322,blue
348,9.15297167418042,1.4926577980394549,-7.66031387614096,0.0044543237032052,1.6776050900008598e-07,0.0237757578932496,0.0,1.0,ENSMUST00000019382,ENSMUSG00000031708,0.000320029259818,7,8,8,0,0,0,1,0.0,1,0,4,1,8,0,0,0,0,1,0,4,-7.810577879648322,blue
349,9.15297167418042,1.4926577980394549,-7.66031387614096,0.0044543237032052,1.6776050900008598e-07,0.0237757578932496,0.0,1.0,ENSMUST00000019382,ENSMUSG00000031708,0.000320029259818,7,8,8,0,0,0,1,0.0,1,0,4,1,8,0,0,0,0,1,0,4,-7.810577879648322,blue
351,9.15297167418042,1.4926577980394549,-7.66031387614096,0.0044543237032052,1.6776050900008598e-07,0.0237757578932496,0.0,1.0,ENSMUST00000019382,ENSMUSG00000031708,0.000320029259818,7,8,8,0,0,0,1,0.0,1,0,4,1,8,0,0,0,0,1,0,4,-7.810577879648322,blue
307,8.197879840330238,0.7121794332856156,-7.485700407044617,0.0045323395949355,1.4725724734234558e-08,0.0275923003323009,0.0,1.0,ENSMUST00000006911-0,ENSMUSG00000006728,0.0490566037735849,3,1,1,0,0,1,8,0.0,1,0,2,1,1,0,0,0,1,7,0,2,-7.785528322538452,blue
308,8.197879840330238,0.7121794332856156,-7.485700407044617,0.0045323395949355,1.4725724734234558e-08,0.0275923003323009,0.0,1.0,ENSMUST00000006911-0,ENSMUSG00000006728,0.0490566037735849,3,1,1,0,0,1,8,0.0,1,0,2,1,1,0,0,0,1,7,0,2,-7.785528322538452,blue
291,9.347534870557148,1.3320808658174494,-8.015454004739704,0.0049667011233424,8.176671468898238e-09,0.0217270162330986,0.0,1.0,ENSMUST00000004375,ENSMUSG00000004264,0.0,2,1,1,0,1,0,0,1.0,2,0,2,0,1,0,0,1,0,0,0,2,-7.6534963510226515,blue
292,9.347534870557148,1.3320808658174494,-8.015454004739704,0.0049667011233424,8.176671468898238e-09,0.0217270162330986,0.0,1.0,ENSMUST00000004375,ENSMUSG00000004264,0.0,2,1,1,0,1,0,0,1.0,2,0,2,0,1,0,0,1,0,0,0,2,-7.6534963510226515,blue
481,7.583233766509397,0.3704425070004993,-7.21279125950889,0.0055202597691162,1.9451197645906496e-08,0.0211038563579692,0.0,1.0,ENSMUST00000032078-0,ENSMUSG00000030007,0.0524519840109193,3,1,1,0,0,0,0,0.0,1,0,1,1,1,0,0,0,0,0,0,1,-7.501048126572088,blue
788,7.680439213470334,0.364626573523135,-7.315812639947199,0.005790020144335,1.1317222967193624e-08,0.034046671246353,0.0,1.0,ENSMUST00000109021,ENSMUSG00000044894,1.0,2,0,0,0,0,0,0,0.0,2,0,1,1,0,0,0,0,0,0,0,1,-7.432215917089777,blue
325,8.031093943658579,0.4926723959547759,-7.5384215477038,0.0059177081820192,9.497954874929528e-09,0.0306654972159714,0.0,1.0,ENSMUST00000013737,ENSMUSG00000013593,0.0,3,1,1,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,1,-7.400745729518221,blue
747,7.361993698841006,0.3627308726085883,-6.999262826232415,0.0059693576558177,1.6384086125397784e-07,0.027698893617368,0.0,1.0,ENSMUST00000105372-0,ENSMUSG00000075706,0.1852610030706243,4,2,2,0,0,0,0,0.0,1,0,2,1,2,0,0,0,0,0,0,2,-7.388208588787516,blue
746,7.361993698841006,0.3627308726085883,-6.999262826232415,0.0059693576558177,1.6384086125397784e-07,0.027698893617368,0.0,1.0,ENSMUST00000105372-0,ENSMUSG00000075706,0.1852610030706243,4,2,2,0,0,0,0,0.0,1,0,2,1,2,0,0,0,0,0,0,2,-7.388208588787516,blue
683,7.589419645502817,0.3592656985262917,-7.2301539469765235,0.0061834130507654,1.0366301431227804e-08,0.0282770148581743,0.0,1.0,ENSMUST00000077290,ENSMUSG00000025823,0.0,1,0,0,0,0,0,0,0.0,1,0,2,0,0,0,0,0,0,0,0,2,-7.337380904102218,blue
682,7.589419645502817,0.3592656985262917,-7.2301539469765235,0.0061834130507654,1.0366301431227804e-08,0.0282770148581743,0.0,1.0,ENSMUST00000077290,ENSMUSG00000025823,0.0,1,0,0,0,0,0,0,0.0,1,0,2,0,0,0,0,0,0,0,0,2,-7.337380904102218,blue
434,7.55346010483596,0.3627710595080288,-7.190689045327928,0.0062702946909919,7.572550846670702e-09,0.0263032579714095,0.0,1.0,ENSMUST00000026560-0,ENSMUSG00000025487,0.0620290635091496,3,0,0,0,0,0,0,0.0,1,0,2,1,0,0,0,0,0,0,0,2,-7.317251036333038,blue
433,7.55346010483596,0.3627710595080288,-7.190689045327928,0.0062702946909919,7.572550846670702e-09,0.0263032579714095,0.0,1.0,ENSMUST00000026560-0,ENSMUSG00000025487,0.0620290635091496,3,0,0,0,0,0,0,0.0,1,0,2,1,0,0,0,0,0,0,0,2,-7.317251036333038,blue
354,7.306948898791107,0.3564650098403957,-6.950483888950707,0.006310455389098,1.0040822601958293e-07,0.0362315613907788,0.0,1.0,ENSMUST00000019470,ENSMUSG00000078652,0.0,1,0,1,1,1,0,0,1.0,2,0,3,0,0,1,1,0,0,0,0,3,-7.308040164733614,blue
355,7.306948898791107,0.3564650098403957,-6.950483888950707,0.006310455389098,1.0040822601958293e-07,0.0362315613907788,0.0,1.0,ENSMUST00000019470,ENSMUSG00000078652,0.0,1,0,1,1,1,0,0,1.0,2,0,3,0,0,1,1,0,0,0,0,3,-7.308040164733614,blue
356,7.306948898791107,0.3564650098403957,-6.950483888950707,0.006310455389098,1.0040822601958293e-07,0.0362315613907788,0.0,1.0,ENSMUST00000019470,ENSMUSG00000078652,0.0,1,0,1,1,1,0,0,1.0,2,0,3,0,0,1,1,0,0,0,0,3,-7.308040164733614,blue
514,7.444414568912776,0.3651027309676818,-7.079311837945092,0.0064678676286582,8.767570448600856e-08,0.0340136210962361,0.0,1.0,ENSMUST00000034392-0,ENSMUSG00000031917,0.0,1,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,-7.272494131736809,blue
109,7.180955405193224,0.3658738223993363,-6.815081582793889,0.0065087095554186,9.718410078977419e-08,0.0359252334598229,0.0,1.0,47d588d0-4a1e-484a-9697-02a9074837cb-0,ENSMUSG00000003199,0.1227906976744186,5,0,0,0,0,0,0,0.0,1,0,2,2,0,0,0,0,0,0,0,2,-7.263412747806048,blue
108,7.180955405193224,0.3658738223993363,-6.815081582793889,0.0065087095554186,9.718410078977419e-08,0.0359252334598229,0.0,1.0,47d588d0-4a1e-484a-9697-02a9074837cb-0,ENSMUSG00000003199,0.1227906976744186,5,0,0,0,0,0,0,0.0,1,0,2,2,0,0,0,0,0,0,0,2,-7.263412747806048,blue
