,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
31,7.349506629519579,0.3642810570021861,-6.985225572517387,0.0074976288409658,4.0598469032008544e-09,0.0367417955447245,0.0,1.0,ENSMUST00000038197,ENSMUSG00000039956,0.45703125,4,0,0,0,0,1,2,1.0,2,0,0,1,0,0,0,0,1,1,0,0,-7.05934987575409,-7.05934987575409,blue
63,7.133380401961482,0.3615065437468828,-6.771873858214602,0.0081413054090627,3.209920512064667e-08,0.038736012234105,0.0,1.0,ENSMUST00000129339-0,ENSMUSG00000025967,0.0175849941383352,3,1,1,0,1,2,5,1.0,2,0,1,1,1,0,0,1,2,3,0,1,-6.940524144201945,-6.940524144201945,blue
64,7.133380401961482,0.3615065437468828,-6.771873858214602,0.0081413054090627,3.209920512064667e-08,0.038736012234105,0.0,1.0,ENSMUST00000129339-0,ENSMUSG00000025967,0.0175849941383352,3,1,1,0,1,2,5,1.0,2,0,1,1,1,0,0,1,2,3,0,1,-6.940524144201945,-6.940524144201945,blue
18,7.31426679436094,0.364005464019671,-6.950261330341268,0.0082092380370469,6.666302462607277e-08,0.0411609040843972,0.0,1.0,ENSMUST00000006911-0,ENSMUSG00000006728,0.0490566037735849,3,1,1,0,0,1,8,0.0,1,0,2,1,1,0,0,0,1,7,0,2,-6.928535964143605,-6.928535964143605,blue
17,7.398265496911685,0.3635383834083169,-7.034727113503363,0.0082619757581828,4.552612595394937e-10,0.0499422971083894,0.0,1.0,ENSMUST00000005292-0,ENSMUSG00000005161,0.1641104294478527,5,1,1,0,0,1,5,0.0,1,0,0,2,1,0,0,0,1,4,0,0,-6.9192974575352,-6.9192974575352,blue
32,7.227845693757104,0.3614553099980814,-6.8663903837590246,0.0095030663476794,1.390214943181621e-07,0.0516394616221773,0.0,1.0,ENSMUST00000039161,ENSMUSG00000035443,0.0016943409013893,3,0,0,0,1,1,8,0.0,1,0,3,1,0,0,0,1,1,7,0,3,-6.7173911827131345,-6.7173911827131345,blue
51,7.367464774096521,0.3637735499596977,-7.003691224136818,0.0100402451955526,1.4990584612356806e-08,0.0405091174851635,0.0,1.0,ENSMUST00000102776,ENSMUSG00000020376,0.0,1,2,2,1,1,1,10,0.0,3,0,0,0,2,0,1,0,1,9,0,0,-6.638061687608716,-6.638061687608716,blue
47,7.2300719898195425,0.3672221900308123,-6.862849799788737,0.0118983221280517,4.3159423199729153e-08,0.0436059662039859,0.0,1.0,ENSMUST00000078830-0,ENSMUSG00000020458,0.0,3,0,2,0,0,1,9,0.0,1,0,0,0,0,2,0,0,1,8,0,0,-6.393098047183406,-6.393098047183406,blue
56,6.8487618016212926,0.360816693755131,-6.487945107866159,0.0126082338778776,2.1781727531335713e-08,0.0670274547008161,0.0,1.0,ENSMUST00000109682,ENSMUSG00000047459,0.0,3,1,1,0,0,1,4,1.0,2,0,0,0,1,0,0,0,1,3,0,0,-6.309489988182779,-6.309489988182779,blue
34,7.134904061758715,0.3489585136464935,-6.785945548112223,0.0144916531230581,1.2243535322636531e-08,0.0755977153695969,0.0,1.0,ENSMUST00000043074,ENSMUSG00000038274,0.258575197889182,4,0,0,0,0,1,5,0.9090909090909092,3,0,3,1,0,0,0,0,1,4,0,3,-6.108634011277259,-6.108634011277259,blue
29,7.936470113938143,2.151296395023163,-5.785173718914981,0.0164836539883483,3.4301153664108025e-06,0.0787874554605243,0.0,1.0,ENSMUST00000032597-0,ENSMUSG00000030432,0.0,4,0,0,0,0,1,2,1.0,2,0,1,0,0,0,0,0,1,1,0,1,-5.922820104623707,-5.922820104623707,blue
73,6.012349668521406,0.4909055057956747,-5.521444162725734,0.0185107682299923,7.308414591535186e-07,0.0832918043928427,0.0,1.0,ENSMUST00000177005-0,ENSMUSG00000001418,0.0,1,1,1,1,1,1,5,0.0,1,0,1,0,1,0,1,0,1,4,0,1,-5.755491418898967,-5.755491418898967,blue
