,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
16,7.9856354831288945,0.5546594077833057,-7.430976075345593,0.0068850163708344,5.3408322148752585e-08,0.0303367422365404,0.0,1.0,ENSMUST00000004554,ENSMUSG00000012848,0.0,3,0,0,1,1,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,-7.182324199932418,blue
46,7.25139889814903,0.3617294651426991,-6.889669433006328,0.007504920608257,1.9410763977284254e-07,0.0346934675405005,0.0,1.0,ENSMUST00000054908-0,ENSMUSG00000022024,0.0,2,3,3,1,1,0,0,1.0,2,0,0,0,3,0,1,0,0,0,0,0,-7.057947474465656,blue
57,7.362797003493596,0.3630394710705377,-6.999757532423052,0.0077536802835863,4.2911710632232755e-09,0.0392610412266543,0.0,1.0,ENSMUST00000089558-0,ENSMUSG00000057278,0.4677419354838709,3,0,0,1,1,0,0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,-7.01090303664987,blue
52,7.077042783355497,0.3629036035378828,-6.714139179817615,0.0079247502662594,1.64534520932802e-07,0.032237466558463,0.0,1.0,ENSMUST00000085679-0,ENSMUSG00000029622,0.0,5,1,1,1,1,0,0,1.0,2,0,0,0,1,0,1,0,0,0,0,0,-6.979418812540134,blue
38,7.177076387704712,0.3587813210306308,-6.818295066674084,0.0083531572157751,4.077770610806194e-07,0.0361720086667279,0.0,1.0,ENSMUST00000034276,ENSMUSG00000031818,0.0,4,0,0,1,1,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,-6.903462693227137,blue
95,7.161514973542433,0.3565169347889821,-6.804998038753447,0.008384445938562,2.1619639867445897e-08,0.0386172071615926,0.0,1.0,ENSMUST00000229183-0,ENSMUSG00000003970,1.0,3,0,0,1,1,0,0,1.0,2,0,0,2,0,0,1,0,0,0,0,0,-6.898068833979137,blue
35,7.321222897793792,0.3593829099993034,-6.961839987794487,0.008648070976643,1.207298252209903e-07,0.0413885339660085,0.0,1.0,ENSMUST00000031038,ENSMUSG00000029152,0.072072072072072,5,0,0,1,1,0,9,1.0,2,0,0,1,0,0,1,0,0,9,0,0,-6.853405921021684,blue
17,7.389530133065989,0.3623947434227208,-7.0271353896432736,0.0088457627859604,1.4285879958091224e-09,0.0463780327797602,0.0,1.0,ENSMUST00000008016-0,ENSMUSG00000007872,1.0,2,0,0,1,1,0,0,1.0,2,0,0,1,0,0,1,0,0,0,0,0,-6.820797730206125,blue
42,7.27293249739301,0.3670994105657291,-6.905833086827279,0.0088908983156827,3.139388192851665e-07,0.0377475911209946,0.0,1.0,ENSMUST00000042334-0,ENSMUSG00000037805,0.1561338289962825,9,1,1,1,1,0,0,0.0,1,0,0,3,1,0,1,0,0,0,0,0,-6.813455091691835,blue
69,7.2037507943202765,0.3541412931770781,-6.849609501143192,0.0095662854532988,4.986206006870858e-10,0.0432322058605282,0.0,1.0,ENSMUST00000119379,ENSMUSG00000002416,0.0,2,0,0,1,2,0,4,1.0,2,0,0,0,0,0,1,1,0,4,0,0,-6.707825443378195,blue
