,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
506,7.802684753259363,0.3707077648488437,-7.431976988410513,0.0054003264742412,1.0373655599082208e-07,0.0289959392380795,0.0,1.0,ENSMUST00000080861-0,ENSMUSG00000062997,0.0,2,1,1,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,-7.532737657287584,blue
222,7.578979897321911,0.3643766245840061,-7.214603272737913,0.0056335880461098,5.450978054992061e-07,0.0293247737137178,0.0,1.0,ENSMUST00000025246,ENSMUSG00000024387,0.0540030211480362,5,1,1,0,0,0,0,0.0,2,0,0,1,1,0,0,0,0,0,0,0,-7.471730213594572,blue
634,7.319475588112993,0.3569406350968727,-6.9625349530161245,0.0059379521082485,8.558645954822955e-10,0.0274798061489164,0.0,1.0,ENSMUST00000131787,ENSMUSG00000086841,0.0,1,1,1,0,0,0,0,0.0,1,0,2,0,1,0,0,0,0,0,0,2,-7.395818827152779,blue
793,7.481795416817437,0.3654931840715549,-7.116302232745876,0.0062438722760809,1.7056263298624303e-08,0.0345071320024699,0.0,1.0,ENSMUST00000237893,ENSMUSG00000060803,0.074074074074074,3,2,2,0,1,0,5,0.0,2,0,0,1,2,0,0,1,0,5,0,0,-7.323343258645007,blue
792,7.481795416817437,0.3654931840715549,-7.116302232745876,0.0062438722760809,1.7056263298624303e-08,0.0345071320024699,0.0,1.0,ENSMUST00000237893,ENSMUSG00000060803,0.074074074074074,3,2,2,0,1,0,5,0.0,2,0,0,1,2,0,0,1,0,5,0,0,-7.323343258645007,blue
213,7.542655463109443,0.5174865926417688,-7.025168870467668,0.0064716013123598,4.4096018291577856e-08,0.0336961480098301,0.0,1.0,ENSMUST00000023934,ENSMUSG00000052305,0.0,1,1,1,0,0,0,0,0.0,2,0,0,0,1,0,0,0,0,0,0,0,-7.271661552419281,blue
211,7.727850974195881,0.3654604114181476,-7.362390562777742,0.0068730832150253,1.6238536021897024e-09,0.0341734208448885,0.0,1.0,ENSMUST00000023851-0,ENSMUSG00000023089,0.0,3,1,1,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,-7.184826857936557,blue
727,7.506430982799973,0.3632303967943751,-7.1432005860055945,0.0069270341008711,1.3951216473996316e-07,0.0379049042096339,0.0,1.0,ENSMUST00000166658-0,ENSMUSG00000001289,0.0867768595041322,4,2,2,0,0,0,0,0.0,1,0,0,1,2,0,0,0,0,0,0,0,-7.173546508614881,blue
728,7.506430982799973,0.3632303967943751,-7.1432005860055945,0.0069270341008711,1.3951216473996316e-07,0.0379049042096339,0.0,1.0,ENSMUST00000166658-0,ENSMUSG00000001289,0.0867768595041322,4,2,2,0,0,0,0,0.0,1,0,0,1,2,0,0,0,0,0,0,0,-7.173546508614881,blue
209,7.3771394619333455,0.3588667434260675,-7.018272718507285,0.0069591712988928,6.449361257157364e-08,0.0354722531822202,0.0,1.0,ENSMUST00000023707,ENSMUSG00000022982,0.0,1,2,2,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,-7.166868765105179,blue
