,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
25,7.109488752142095,0.3611162823544409,-6.7483724697876495,0.0084549458746377,1.1353504056781705e-07,0.0418379689538917,0.0,1.0,ENSMUST00000132034,ENSMUSG00000038803,1.0,2,0,0,0,0,0,0,0.0,1,1,1,1,0,0,0,0,0,0,1,0,-6.88598876558469,blue
5,5.779734977858609,4.035370956157554,-1.7443640217010503,0.3264343192300308,0.0021144234586977,1.0045783625737807,0.05,0.95,2ace1dbb-462d-4fde-9a4b-a537c35f8433-0,ENSMUSG00000035242,1.0,4,0,2,0,0,0,5,1.0,3,1,2,3,0,2,0,0,0,5,1,1,-1.6151353538151376,grey
28,0.9579294074766912,0.3082458095710039,-0.6496835979056881,0.5466788704681643,0.2385529477138968,0.8536545560127005,0.0,1.0,ENSMUST00000148592,ENSMUSG00000059355,0.939516129032258,3,1,1,0,0,0,0,0.0,1,1,1,1,1,0,0,0,0,0,1,0,-0.8712344794740512,blue
14,1.1207119767522582,0.8412539393549519,-0.279458037397305,0.8034424971356405,0.3395191709474458,1.3820134423371917,0.205,0.795,ENSMUST00000027472,ENSMUSG00000026255,0.0,2,1,1,0,0,0,0,1.0,2,1,1,0,1,0,0,0,0,0,1,0,-0.31573332184684866,grey
35,0.5601532959858019,0.3348040762393671,-0.225349219746435,0.8137147380201704,0.5570348298334139,1.107019452985332,0.1125,0.8875,ENSMUST00000177840,ENSMUSG00000025510,0.0096989966555183,5,0,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0,0,1,0,-0.2974049738265154,grey
30,0.5534916655835125,0.3346755801298357,-0.2188160854536768,0.8166783920956753,0.5107367844779318,1.084802652920734,0.105,0.895,ENSMUST00000154208-1,ENSMUSG00000066026,0.5158069883527454,4,0,2,0,0,1,4,0.0,1,1,1,1,0,2,0,0,1,3,1,0,-0.2921600379053363,grey
31,0.5533000479420447,0.3341631413994377,-0.2191369065426076,0.81687161144304,0.5364412219185373,1.096181398459163,0.12,0.88,ENSMUST00000161684-0,ENSMUSG00000009687,0.0,5,0,0,0,0,0,9,0.8108108108108109,3,1,1,0,0,0,0,0,0,9,1,0,-0.2918187485723584,grey
27,0.5608143124525542,0.3398836612842451,-0.220930651168309,0.8173339533178983,0.5294463824324268,1.1235221578643306,0.1075,0.8925,ENSMUST00000140267,ENSMUSG00000024845,0.4545454545454545,5,1,1,0,0,0,8,0.0,2,1,2,1,1,0,0,0,0,8,1,1,-0.2910024273429699,grey
11,1.0933732480226,0.9112334867977494,-0.1821397612248505,0.8922972305473316,0.3631927932445528,1.6061304761835975,0.3125,0.6875,ENSMUST00000009039,ENSMUSG00000058600,0.5710382513661202,4,0,0,0,0,0,0,0.0,2,1,3,1,0,0,0,0,0,0,1,2,-0.1644037327144619,grey
17,0.5799038684177525,0.5550397959698862,-0.0248640724478665,1.002920789303735,0.5370012419930541,1.4698609825045184,0.455,0.545,ENSMUST00000049999,ENSMUSG00000046550,0.0,1,0,1,0,0,0,0,1.0,2,1,1,0,0,1,0,0,0,0,1,0,0.004207666377448944,grey
10,0.4091327008629192,0.4065719220242318,-0.0025607788386876,1.0100866534029986,0.7096311243773408,1.3109122200496344,0.4925,0.5075,ENSMUST00000005487-0,ENSMUSG00000005354,0.0028558545017285,5,1,1,0,0,0,0,0.0,2,1,1,2,1,0,0,0,0,0,1,0,0.014479064335737616,grey
23,0.4055021221275116,0.4036043384523757,-0.0018977836751355,1.0119513394570958,0.7251503114349236,1.3387110771365804,0.4975,0.5025,ENSMUST00000113979-0,ENSMUSG00000026000,0.0,1,1,1,0,1,0,0,0.0,1,1,1,0,1,0,0,1,0,0,1,0,0.017139918479083673,grey
0,0.4126291861563331,0.4097538315510375,-0.0028753546052958,1.012522856852459,0.6600150930887456,1.3396477690941555,0.5125,0.4875,0b411a11-d1bd-490c-8d5f-7f1a61f49c35-0,ENSMUSG00000096768,1.0,4,0,0,1,1,0,0,0.0,1,2,2,3,0,0,1,0,0,0,2,0,0.01795447599281128,grey
1,0.4126291861563331,0.4097538315510375,-0.0028753546052958,1.012522856852459,0.6600150930887456,1.3396477690941555,0.5125,0.4875,0b411a11-d1bd-490c-8d5f-7f1a61f49c35-0,ENSMUSG00000096768,1.0,4,0,0,1,1,0,0,0.0,1,2,2,3,0,0,1,0,0,0,2,0,0.01795447599281128,grey
12,0.4051183710688334,0.4063947352199596,0.0012763641511259,1.014535787015128,0.6981907646348461,1.3390953964116838,0.5325,0.4675,ENSMUST00000010520-0,ENSMUSG00000010376,0.0303763766186615,4,0,1,0,0,0,4,0.0,1,1,1,2,0,1,0,0,0,4,1,0,0.020819756014869156,grey
