,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
175,9.416110287844932,2.131491548728204,-7.284618739116736,0.0047958796928807,4.616586913077992e-08,0.0268414826137178,0.0,1.0,ENSMUST00000125184-0,ENSMUSG00000090137,0.3786078098471986,7,0,0,0,1,0,0,0.0,1,0,0,3,0,0,0,1,0,0,0,0,-7.703988816206318,blue
62,7.332603726588239,0.3650738575282964,-6.967529869059941,0.0060537695101959,3.0850223246269214e-08,0.0247327496067446,0.0,1.0,ENSMUST00000026222,ENSMUSG00000025204,0.0,3,0,0,0,1,0,4,1.0,2,0,0,0,0,0,0,1,0,4,0,0,-7.367950537284493,blue
245,7.481795416817437,0.3654931840715549,-7.116302232745876,0.0062438722760809,1.7056263298624303e-08,0.0345071320024699,0.0,1.0,ENSMUST00000237893,ENSMUSG00000060803,0.074074074074074,3,2,2,0,1,0,5,0.0,2,0,0,1,2,0,0,1,0,5,0,0,-7.323343258645007,blue
137,7.469184283404619,0.3657540384271192,-7.103430244977502,0.0064870510260336,8.445616451536142e-09,0.0246946249255762,0.0,1.0,ENSMUST00000098910,ENSMUSG00000074457,1.0,5,0,0,0,1,0,0,0.0,1,0,0,4,0,0,0,1,0,0,0,0,-7.268221497808807,blue
58,7.380299704823199,0.3597175676129266,-7.020582137210258,0.006713703636279,1.1897575158788566e-07,0.0328157760709474,0.0,1.0,ENSMUST00000025743,ENSMUSG00000024829,0.0,3,0,0,0,1,0,0,1.0,2,0,1,0,0,0,0,1,0,0,0,1,-7.218675431258947,blue
89,7.547007432426499,0.3621150842708823,-7.184892348155619,0.0069869400133326,5.165332408176788e-09,0.0344648398248145,0.0,1.0,ENSMUST00000041045-0,ENSMUSG00000037894,0.1622464898595944,5,0,0,0,1,0,3,0.0,1,0,0,2,0,0,0,1,0,3,0,0,-7.161123530657943,blue
43,7.496011251457886,0.3606430571865068,-7.13536819427138,0.0072033188814367,1.797360639126381e-09,0.0352576864087413,0.0,1.0,ENSMUST00000020397-0,ENSMUSG00000020180,0.0,1,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,-7.117122512750176,blue
88,7.689894314700552,0.3693414630373568,-7.320552851663192,0.0076393902625766,6.480711225571178e-08,0.037516094318878,0.0,1.0,ENSMUST00000040284,ENSMUSG00000036299,0.0,3,0,0,0,1,0,3,1.0,2,0,0,0,0,0,0,1,0,3,0,0,-7.0323267904143165,blue
187,7.513543782873455,0.3543737319584155,-7.1591700509150415,0.0077062242664132,3.1619543005235025e-08,0.0417866492288072,0.0,1.0,ENSMUST00000142407-0,ENSMUSG00000029203,0.0,1,2,2,0,1,0,0,0.0,1,0,0,0,2,0,0,1,0,0,0,0,-7.019760112766082,blue
178,7.133380401961482,0.3615065437468828,-6.771873858214602,0.0081413054090627,3.209920512064667e-08,0.038736012234105,0.0,1.0,ENSMUST00000129339-0,ENSMUSG00000025967,0.0175849941383352,3,1,1,0,1,2,5,1.0,2,0,1,1,1,0,0,1,2,3,0,1,-6.940524144201945,blue
