,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
118,7.583621843997892,0.361743045737625,-7.221878798260266,0.0054465025992704,1.3328638817166476e-08,0.0231677105200777,0.0,1.0,ENSMUST00000051364-1,ENSMUSG00000044709,0.512280701754386,5,0,1,0,0,0,0,1.0,2,0,0,1,0,1,0,0,0,0,0,0,-7.5204541652957655,-7.5204541652957655,blue
180,7.448340109479047,0.3657780689123688,-7.082562040566676,0.0068151539205523,3.3857726889307406e-09,0.0292623244932638,0.0,1.0,ENSMUST00000114576-0,ENSMUSG00000073131,0.0,1,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,-7.197038043932431,-7.197038043932431,blue
97,7.933931501473492,0.8749692330965452,-7.058962268376948,0.0073794277503636,2.145564955603863e-08,0.0402706579899283,0.0,1.0,ENSMUST00000034552,ENSMUSG00000032051,0.0006734460233012,3,1,2,0,0,0,0,1.0,2,0,0,1,1,1,0,0,0,0,0,0,-7.082275340154504,-7.082275340154504,blue
77,7.284272481871837,0.3644075871735338,-6.919864894698296,0.0080211268319325,1.367848793599947e-07,0.0358982684446481,0.0,1.0,ENSMUST00000025095,ENSMUSG00000024248,0.0,1,0,1,0,0,0,0,1.0,2,0,0,0,0,1,0,0,0,0,0,0,-6.961979359622072,-6.961979359622072,blue
67,7.537389842839603,0.3620608204143696,-7.175329022425235,0.0080637747822049,4.90069634035915e-08,0.0468606462235835,0.0,1.0,ENSMUST00000021559-0,ENSMUSG00000021131,0.0,1,1,2,0,0,0,0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,-6.954328939119584,-6.954328939119584,blue
78,7.4924933901302095,0.3585705005400558,-7.13392288959016,0.0085461682782042,7.852706097409803e-10,0.0398873815197757,0.0,1.0,ENSMUST00000026318,ENSMUSG00000025283,0.0,3,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,-6.870506559997321,-6.870506559997321,blue
203,7.06064435244813,0.3562451418420184,-6.704399210606124,0.0087595338321434,1.0593241661975389e-07,0.0476626646751863,0.0,1.0,ENSMUST00000156816-0,ENSMUSG00000033845,0.0,1,2,3,0,0,0,0,0.7072002254473722,3,0,0,0,2,1,0,0,0,0,0,0,-6.834930190629052,-6.834930190629052,blue
165,7.141623505201356,0.3573206283049358,-6.784302876896424,0.0088364853373919,1.0193368175010537e-08,0.0461230742031498,0.0,1.0,ENSMUST00000109207-0,ENSMUSG00000078923,0.0,3,0,1,0,1,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,-6.82231162483951,-6.82231162483951,blue
89,7.247522686373421,0.3612752556041508,-6.886247430769272,0.0089286952247418,4.038341289916814e-09,0.0485387538520513,0.0,1.0,ENSMUST00000031513,ENSMUSG00000029538,0.0,1,1,3,0,0,0,0,1.0,2,0,0,0,1,2,0,0,0,0,0,0,-6.807334918982717,-6.807334918982717,blue
88,7.247522686373421,0.3612752556041508,-6.886247430769272,0.0089286952247418,4.038341289916814e-09,0.0485387538520513,0.0,1.0,ENSMUST00000031513,ENSMUSG00000029538,0.0,1,1,3,0,0,0,0,1.0,2,0,0,0,1,2,0,0,0,0,0,0,-6.807334918982717,-6.807334918982717,blue
149,7.249260390005957,0.3640652634403418,-6.8851951265656135,0.0090602246424659,5.671036595959583e-08,0.0446458182074672,0.0,1.0,ENSMUST00000090553-0,ENSMUSG00000068739,0.0,2,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,-6.786237463247786,-6.786237463247786,blue
111,7.249302481903077,0.4742757259871429,-6.775026755915943,0.0091066565571445,1.6801767502526667e-08,0.0418002365818133,0.0,1.0,ENSMUST00000046746,ENSMUSG00000036256,0.0,2,0,1,0,0,0,6,1.0,2,0,0,0,0,1,0,0,0,6,0,0,-6.778862808438038,-6.778862808438038,blue
93,7.322926969676611,0.3600412214535644,-6.962885748223042,0.0095008598577372,6.934493816675372e-09,0.0479998603942685,0.0,1.0,ENSMUST00000034277-0,ENSMUSG00000031819,0.0,3,1,2,0,0,0,0,0.0,1,0,1,0,1,1,0,0,0,0,0,1,-6.717726196865187,-6.717726196865187,blue
103,7.088552495201547,0.3595710409374186,-6.7289814542641295,0.0096937924995562,1.861357974742273e-07,0.0529097043556467,0.0,1.0,ENSMUST00000038626,ENSMUSG00000035559,0.0,1,0,1,0,0,0,5,0.0,1,0,2,0,0,1,0,0,0,5,0,2,-6.688723083431263,-6.688723083431263,blue
160,7.148081159266338,0.3484541596333715,-6.799626999632964,0.0097302071488523,6.931353324795044e-08,0.0609096874687573,0.0,1.0,ENSMUST00000108613,ENSMUSG00000078812,0.0,6,0,2,0,0,0,0,0.0,1,0,0,0,0,2,0,0,0,0,0,0,-6.683313765427464,-6.683313765427464,blue
161,7.148081159266338,0.3484541596333715,-6.799626999632964,0.0097302071488523,6.931353324795044e-08,0.0609096874687573,0.0,1.0,ENSMUST00000108613,ENSMUSG00000078812,0.0,6,0,2,0,0,0,0,0.0,1,0,0,0,0,2,0,0,0,0,0,0,-6.683313765427464,-6.683313765427464,blue
80,7.130417526188536,0.361391173333995,-6.769026352854541,0.0097693912733206,7.012163337084301e-10,0.0437029542307272,0.0,1.0,ENSMUST00000026576,ENSMUSG00000025503,0.0,3,2,3,0,0,0,0,0.0,1,0,1,0,2,1,0,0,0,0,0,1,-6.677515613391805,-6.677515613391805,blue
82,7.084914705965479,0.3585896728131634,-6.726325033152316,0.0107675151776296,7.842440789606141e-09,0.0548049402893977,0.0,1.0,ENSMUST00000028509,ENSMUSG00000014959,0.0,3,0,1,0,0,0,0,1.0,2,0,0,0,0,1,0,0,0,0,0,0,-6.537170832605399,-6.537170832605399,blue
68,7.268618838366035,0.3695333005014807,-6.899085537864559,0.0108237048519658,6.498900367885991e-08,0.0629237460636141,0.0,1.0,ENSMUST00000021880-0,ENSMUSG00000044258,0.014477766287487,3,0,1,0,2,0,4,1.0,2,0,0,1,0,1,0,2,0,4,0,0,-6.529661785186036,-6.529661785186036,blue
60,7.083293101558176,0.3589184908034661,-6.724374610754718,0.0108460534462476,5.054940469494161e-09,0.0517733349336392,0.0,1.0,ENSMUST00000016678,ENSMUSG00000016534,0.0,3,0,1,0,0,0,0,1.0,2,0,0,0,0,1,0,0,0,0,0,0,-6.52668600510314,-6.52668600510314,blue
141,6.985272684471721,0.3624768864992261,-6.622795797972492,0.0114001621813735,1.4829915827666114e-10,0.0595030146982518,0.0,1.0,ENSMUST00000080537-0,ENSMUSG00000001847,0.0,1,2,3,0,0,0,0,1.0,2,0,0,0,2,1,0,0,0,0,0,0,-6.454801841121642,-6.454801841121642,blue
212,7.017643045344491,0.3590099031829152,-6.658633142161573,0.0114605233499431,2.362423340327163e-07,0.0478114132567503,0.0,1.0,ENSMUST00000174064-0,ENSMUSG00000002985,0.0217054263565891,5,0,1,0,0,0,0,1.0,2,0,0,1,0,1,0,0,0,0,0,0,-6.447183262858982,-6.447183262858982,blue
138,7.2300719898195425,0.3672221900308123,-6.862849799788737,0.0118983221280517,4.3159423199729153e-08,0.0436059662039859,0.0,1.0,ENSMUST00000078830-0,ENSMUSG00000020458,0.0,3,0,2,0,0,1,9,0.0,1,0,0,0,0,2,0,0,1,8,0,0,-6.393098047183406,-6.393098047183406,blue
137,7.2300719898195425,0.3672221900308123,-6.862849799788737,0.0118983221280517,4.3159423199729153e-08,0.0436059662039859,0.0,1.0,ENSMUST00000078830-0,ENSMUSG00000020458,0.0,3,0,2,0,0,1,9,0.0,1,0,0,0,0,2,0,0,1,8,0,0,-6.393098047183406,-6.393098047183406,blue
242,7.096429886601788,0.3570913366651796,-6.739338549936607,0.0127109299775341,1.5818906491457937e-08,0.0582335995619654,0.0,1.0,ENSMUST00000230271-0,ENSMUSG00000033020,0.0,1,1,2,0,1,0,0,1.0,2,0,0,0,1,1,0,1,0,0,0,0,-6.2977866027918425,-6.2977866027918425,blue
