,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
363,7.319475588112993,0.3569406350968727,-6.9625349530161245,0.0059379521082485,8.558645954822955e-10,0.0274798061489164,0.0,1.0,ENSMUST00000131787,ENSMUSG00000086841,0.0,1,1,1,0,0,0,0,0.0,1,0,2,0,1,0,0,0,0,0,0,2,-7.395818827152779,blue
362,7.319475588112993,0.3569406350968727,-6.9625349530161245,0.0059379521082485,8.558645954822955e-10,0.0274798061489164,0.0,1.0,ENSMUST00000131787,ENSMUSG00000086841,0.0,1,1,1,0,0,0,0,0.0,1,0,2,0,1,0,0,0,0,0,0,2,-7.395818827152779,blue
445,7.472557986737537,0.3618345620770388,-7.110723424660498,0.0063599958978703,8.314979483365289e-08,0.0304172376495862,0.0,1.0,ENSMUST00000207982,ENSMUSG00000030579,0.0,2,0,0,0,0,0,0,1.0,2,0,1,0,0,0,0,0,0,0,0,1,-7.296758449675111,blue
262,7.42327673875615,0.3604691028879928,-7.062807635868155,0.0064267909203534,1.3973496121135071e-09,0.0319275732501007,0.0,1.0,ENSMUST00000060991,ENSMUSG00000006736,0.0,1,0,0,0,0,0,0,0.0,1,0,3,0,0,0,0,0,0,0,0,3,-7.281685746016476,blue
263,7.42327673875615,0.3604691028879928,-7.062807635868155,0.0064267909203534,1.3973496121135071e-09,0.0319275732501007,0.0,1.0,ENSMUST00000060991,ENSMUSG00000006736,0.0,1,0,0,0,0,0,0,0.0,1,0,3,0,0,0,0,0,0,0,0,3,-7.281685746016476,blue
264,7.42327673875615,0.3604691028879928,-7.062807635868155,0.0064267909203534,1.3973496121135071e-09,0.0319275732501007,0.0,1.0,ENSMUST00000060991,ENSMUSG00000006736,0.0,1,0,0,0,0,0,0,0.0,1,0,3,0,0,0,0,0,0,0,0,3,-7.281685746016476,blue
141,7.380299704823199,0.3597175676129266,-7.020582137210258,0.006713703636279,1.1897575158788566e-07,0.0328157760709474,0.0,1.0,ENSMUST00000025743,ENSMUSG00000024829,0.0,3,0,0,0,1,0,0,1.0,2,0,1,0,0,0,0,1,0,0,0,1,-7.218675431258947,blue
7,7.441702054434263,0.3638795111792011,-7.077822543255057,0.0073351999472855,6.844886682307914e-10,0.0339689303863766,0.0,1.0,21e402dd-c4d5-44c6-852d-1b123fa32680-1,ENSMUSG00000027870,1.0,3,2,2,0,0,0,0,0.7777777777777778,3,0,2,2,2,0,0,0,0,0,0,2,-7.090947992379557,blue
8,7.441702054434263,0.3638795111792011,-7.077822543255057,0.0073351999472855,6.844886682307914e-10,0.0339689303863766,0.0,1.0,21e402dd-c4d5-44c6-852d-1b123fa32680-1,ENSMUSG00000027870,1.0,3,2,2,0,0,0,0,0.7777777777777778,3,0,2,2,2,0,0,0,0,0,0,2,-7.090947992379557,blue
140,7.242783341149224,0.3544321505831616,-6.888351190566066,0.0076130113014154,2.023671136572109e-07,0.0371536559832683,0.0,1.0,ENSMUST00000025462,ENSMUSG00000024570,0.0,1,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,-7.037317064796492,blue
459,7.168563836299184,0.3528111036788942,-6.815752732620291,0.0078222110431384,4.8312270249490963e-08,0.0340130972450158,0.0,1.0,ENSMUST00000213310-0,ENSMUSG00000025794,1.0,4,1,1,0,0,0,0,0.0,1,0,1,3,1,0,0,0,0,0,0,1,-6.9982078241752435,blue
430,8.874716126304456,2.3446612098861355,-6.530054916418327,0.0079481057638949,7.950278619132228e-07,0.0380710918218328,0.0,1.0,ENSMUST00000176010-0,ENSMUSG00000093674,0.15,6,2,2,0,0,0,0,0.0,1,0,1,2,2,0,0,0,0,0,0,1,-6.975173214284939,blue
356,7.133380401961482,0.3615065437468828,-6.771873858214602,0.0081413054090627,3.209920512064667e-08,0.038736012234105,0.0,1.0,ENSMUST00000129339-0,ENSMUSG00000025967,0.0175849941383352,3,1,1,0,1,2,5,1.0,2,0,1,1,1,0,0,1,2,3,0,1,-6.940524144201945,blue
79,7.31426679436094,0.364005464019671,-6.950261330341268,0.0082092380370469,6.666302462607277e-08,0.0411609040843972,0.0,1.0,ENSMUST00000006911-0,ENSMUSG00000006728,0.0490566037735849,3,1,1,0,0,1,8,0.0,1,0,2,1,1,0,0,0,1,7,0,2,-6.928535964143605,blue
80,7.31426679436094,0.364005464019671,-6.950261330341268,0.0082092380370469,6.666302462607277e-08,0.0411609040843972,0.0,1.0,ENSMUST00000006911-0,ENSMUSG00000006728,0.0490566037735849,3,1,1,0,0,1,8,0.0,1,0,2,1,1,0,0,0,1,7,0,2,-6.928535964143605,blue
407,7.206284303415905,0.3464960002882319,-6.85978830312767,0.0083656705280979,1.1261291436751997e-07,0.0408096757533569,0.0,1.0,ENSMUST00000161807-0,ENSMUSG00000079197,0.0612735282338806,3,3,3,0,0,0,0,0.0,1,0,2,1,3,0,0,0,0,0,0,2,-6.901303104375484,blue
406,7.206284303415905,0.3464960002882319,-6.85978830312767,0.0083656705280979,1.1261291436751997e-07,0.0408096757533569,0.0,1.0,ENSMUST00000161807-0,ENSMUSG00000079197,0.0612735282338806,3,3,3,0,0,0,0,0.0,1,0,2,1,3,0,0,0,0,0,0,2,-6.901303104375484,blue
126,7.266621806296893,0.3546283242163658,-6.911993482080519,0.0085092996230746,3.9672988943216586e-08,0.0378913780209798,0.0,1.0,ENSMUST00000020717,ENSMUSG00000020440,0.0,2,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,-6.876743892104404,blue
93,7.228991541663572,0.361453881403593,-6.8675376602599805,0.0085815133391036,2.0025944280907958e-07,0.0369122465058229,0.0,1.0,ENSMUST00000015157-0,ENSMUSG00000015013,1.0,2,0,0,0,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,1,-6.864552197042315,blue
90,7.211292431957311,0.3638611024480127,-6.8474313295093046,0.0086139806746932,3.398555310713506e-07,0.0475306465903359,0.0,1.0,ENSMUST00000013737,ENSMUSG00000013593,0.0,3,1,1,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,1,-6.8591041977384055,blue
424,7.254417472707882,0.3572121299073587,-6.897205342800529,0.0086169890249385,2.793080964058452e-07,0.0438535772908824,0.0,1.0,ENSMUST00000166518,ENSMUSG00000002014,0.0,6,0,0,0,0,0,5,0.0,1,0,2,0,0,0,0,0,0,5,0,2,-6.8586004382750785,blue
425,7.254417472707882,0.3572121299073587,-6.897205342800529,0.0086169890249385,2.793080964058452e-07,0.0438535772908824,0.0,1.0,ENSMUST00000166518,ENSMUSG00000002014,0.0,6,0,0,0,0,0,5,0.0,1,0,2,0,0,0,0,0,0,5,0,2,-6.8586004382750785,blue
92,7.285992951908441,0.3544668013655327,-6.931526150542903,0.0086325470564119,1.8341004989217883e-08,0.0459581030633179,0.0,1.0,ENSMUST00000014750,ENSMUSG00000014606,1.0,2,0,0,0,0,0,7,1.0,2,0,2,1,0,0,0,0,0,7,0,2,-6.855997991364825,blue
91,7.285992951908441,0.3544668013655327,-6.931526150542903,0.0086325470564119,1.8341004989217883e-08,0.0459581030633179,0.0,1.0,ENSMUST00000014750,ENSMUSG00000014606,1.0,2,0,0,0,0,0,7,1.0,2,0,2,1,0,0,0,0,0,7,0,2,-6.855997991364825,blue
375,7.097518488573928,0.37009762344665,-6.727420865127285,0.0087386575966114,5.036729713112581e-08,0.0440911843446165,0.0,1.0,ENSMUST00000145614-0,ENSMUSG00000037740,0.0,1,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,-6.838372609908416,blue
361,7.284157715788633,0.3616869872605937,-6.922470728528033,0.0087396922431629,6.130021614607398e-08,0.0387566630562439,0.0,1.0,ENSMUST00000130498-0,ENSMUSG00000047721,1.0,2,0,0,0,0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,2,-6.838201806661616,blue
360,7.284157715788633,0.3616869872605937,-6.922470728528033,0.0087396922431629,6.130021614607398e-08,0.0387566630562439,0.0,1.0,ENSMUST00000130498-0,ENSMUSG00000047721,1.0,2,0,0,0,0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,2,-6.838201806661616,blue
422,7.464190738821702,0.3599799796286623,-7.104210759193021,0.008767621344815,1.3390243800381042e-08,0.0423958943671855,0.0,1.0,ENSMUST00000164884-0,ENSMUSG00000031879,0.0,1,0,0,0,0,0,5,0.0,2,0,1,0,0,0,0,0,0,5,0,1,-6.83359879199251,blue
