ids,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,multi_trans,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change
000d852d-0eb3-446f-8d62-9e24add63e02-0_ENSMUSG00000055850,0.4090100785782345,0.3981153946103895,-0.0108946839678456,1.0027735206325012,0.6907138830412455,1.3623246044180255,0.48,0.52,000d852d-0eb3-446f-8d62-9e24add63e02-0,ENSMUSG00000055850,0.1262135922330097,4,1,2,0,3,0,2,0.0,1,0,1,1,1,1,1,0,3,0,2,0,1,0.003995805795308771
00142014-7778-4330-b26b-fba15c9673f7-0_11:109011000,7.106353906955397,0.358575515521442,-6.747778391433944,0.0118004934864438,2.916976088138297e-07,0.0482437075772285,0.0,1.0,00142014-7778-4330-b26b-fba15c9673f7-0,11:109011000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.405008996665707
002a9746-3bae-4000-b54f-b7f8ba6bcb5a-0_13:77031000,0.3355431590300124,0.5429064727585411,0.2073633137285279,1.252471026283754,0.874566747371862,1.7186474022636662,0.9025,0.0975,002a9746-3bae-4000-b54f-b7f8ba6bcb5a-0,13:77031000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3247772295919583
007f4633-e0d8-43c4-b6c1-d02d98088095-0_1:190946000,0.4107639173582587,0.405962938551691,-0.0048009788065674,1.0109397676185308,0.7117591421671002,1.373148964308829,0.4825,0.5175,007f4633-e0d8-43c4-b6c1-d02d98088095-0,1:190946000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015697043188819867
0080001e-318c-40c1-b0fe-0362fdebb6fa-0_ENSMUSG00000057657,0.9393474130623132,0.3025804657835951,-0.6367669472787187,0.5547617182028336,0.2417116605849153,0.8602818278397661,0.0025,0.9975,0080001e-318c-40c1-b0fe-0362fdebb6fa-0,ENSMUSG00000057657,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.8500598581711328
00d29d1d-175e-4612-be22-a08a06ffd55d-0_ENSMUSG00000070332,0.3340944000292431,0.5585783641630165,0.2244839641337737,1.2803489467149112,0.8677448956683393,1.9605555557106424,0.8675,0.1325,00d29d1d-175e-4612-be22-a08a06ffd55d-0,ENSMUSG00000070332,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3565370563872094
0198dfd8-fbd7-4d1d-a2e0-0785c36d0415-0_ENSMUSG00000116835,7.288558408863583,0.3567295872137074,-6.931828821649873,0.0072720902756349,9.613044249037121e-08,0.0328408081735052,0.0,1.0,0198dfd8-fbd7-4d1d-a2e0-0785c36d0415-0,ENSMUSG00000116835,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-7.1034141754212685
01b49c73-9b09-4e43-af27-b3f1feb0ec5e-0_13:9834000,0.5456102151622549,0.3338316133930605,-0.2117786017691945,0.8251882610829214,0.541338709088323,1.1579931835721762,0.1325,0.8675,01b49c73-9b09-4e43-af27-b3f1feb0ec5e-0,13:9834000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2772047969275253
01ef3b9e-4e6e-475b-b7ec-4f3ad7a11ff4-0_17:78652000,0.3330056412564345,0.5401671795676349,0.2071615383112005,1.2551287250284762,0.837569919971571,1.7527616601147475,0.8625,0.1375,01ef3b9e-4e6e-475b-b7ec-4f3ad7a11ff4-0,17:78652000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3278353334483256
02029c02-7999-46ee-92ec-21d9e43827dd-0_16:15887000,0.3390763770924376,0.5474453226744169,0.2083689455819796,1.2567664190771206,0.8445095592513796,1.819243830694954,0.8675,0.1325,02029c02-7999-46ee-92ec-21d9e43827dd-0,16:15887000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32971653730573075
029243ce-7bcb-488e-94c6-2f7b06f36645-0_12:111115000,0.5467024248685328,0.3285972760897552,-0.2181051487787776,0.8185346675811473,0.5792558127097219,1.1757010267982595,0.1075,0.8925,029243ce-7bcb-488e-94c6-2f7b06f36645-0,12:111115000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2888845741094448
02b03088-b075-425b-aa42-45c2cc082d72-0_X:143797000,0.4105540367804184,0.4064359793156922,-0.0041180574647265,1.011095597811762,0.6538360322580717,1.3483310402779922,0.485,0.515,02b03088-b075-425b-aa42-45c2cc082d72-0,X:143797000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01591940868378995
02d179cb-5ea8-4868-91a3-63ec159c272c-0_ENSMUSG00000068009,0.9329856483866624,0.307724636918067,-0.6252610114685953,0.5626359567059229,0.2403619390908842,0.8895693223153915,0.0025,0.9975,02d179cb-5ea8-4868-91a3-63ec159c272c-0,ENSMUSG00000068009,1.0,2,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.8297263401307727
041eceee-32b4-4727-8c4c-ba1f616b4841-0_2:91213000,0.3375822517814609,0.5573039165456601,0.219721664764199,1.268686979020715,0.8273426174116479,1.7632486169327712,0.9,0.1,041eceee-32b4-4727-8c4c-ba1f616b4841-0,2:91213000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3433361593914584
04a7b7b0-5752-4447-b907-7bbd39941b2d-0_X:80458000,0.3385914540279943,0.555645917920482,0.2170544638924873,1.267019022578714,0.8183339257431886,1.7757397029926356,0.9025,0.0975,04a7b7b0-5752-4447-b907-7bbd39941b2d-0,X:80458000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34143818475809007
