ids,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,multi_trans,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change
000a2c8a-6952-4823-8449-609747ea1b61-0_19:47265000,0.5463037844062351,0.3329286280757919,-0.2133751563304433,0.8241331149566058,0.4940152523202408,1.1284522620264077,0.1225,0.8775,000a2c8a-6952-4823-8449-609747ea1b61-0,19:47265000,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.27905071284620137
000d852d-0eb3-446f-8d62-9e24add63e02-0_ENSMUSG00000055850,1.419632985858973,2.9361219815562887,1.516488995697313,7.597744941878441,0.5788051791438648,22.96547368916227,0.965,0.035,000d852d-0eb3-446f-8d62-9e24add63e02-0,ENSMUSG00000055850,0.1262135922330097,4,1,2,0,3,0,2,0.0,1,0,1,1,1,1,1,0,3,0,2,0,1,2.925571281197002
00142014-7778-4330-b26b-fba15c9673f7-0_11:109011000,7.420177083954626,0.3632768241082694,-7.056900259846356,0.0072418686111647,3.1625317899298684e-08,0.0345513295265423,0.0,1.0,00142014-7778-4330-b26b-fba15c9673f7-0,11:109011000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.109422282349604
001f81cc-57cf-47cd-bc61-f206f6fc4193-0_6:142172000,0.4049474900364861,0.3958750287500414,-0.0090724612864451,1.0050326223554436,0.6932312680466831,1.350291418506766,0.485,0.515,001f81cc-57cf-47cd-bc61-f206f6fc4193-0,6:142172000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007242330604786253
00242b53-f07a-476b-86b2-f0a6b38fc216-0_9:21766000,0.5555784219139743,0.337386261833533,-0.2181921600804416,0.8200977291630522,0.4637137348897726,1.099497952850518,0.1275,0.8725,00242b53-f07a-476b-86b2-f0a6b38fc216-0,9:21766000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2861322522571003
00364ebc-5fcf-4c7d-aed2-1639a3b6f26e-0_X:3226000,0.4114757218787591,0.4060471474033282,-0.0054285744754306,1.0082365668964457,0.7024053907679543,1.353708966351838,0.5125,0.4875,00364ebc-5fcf-4c7d-aed2-1639a3b6f26e-0,X:3226000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011834184319555505
004293fb-c0d2-449f-91b1-6694d341ad3b-0_19:52984000,0.4076632823458386,0.4091091744749401,0.0014458921291008,1.01550499588593,0.6445717435278803,1.3147913475804398,0.505,0.495,004293fb-c0d2-449f-91b1-6694d341ad3b-0,19:52984000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022197337144776633
00495685-b3fe-46a8-b6c6-b364d525aa79-0_16:96121000,0.3448427337592114,0.5556962775914578,0.2108535438322463,1.2645703107697428,0.7584259459871538,1.8373679768703204,0.8425,0.1575,00495685-b3fe-46a8-b6c6-b364d525aa79-0,16:96121000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33864725382898986
004ee980-a96e-4ccc-9b96-f28d7e2dc3da-0_14:8058000,0.3387346029707248,0.5445356368698412,0.2058010338991159,1.252056396333435,0.8330066554794929,1.7967800975518822,0.865,0.135,004ee980-a96e-4ccc-9b96-f28d7e2dc3da-0,14:8058000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3242995469974759
005d0575-f90b-49f2-a5ce-db3f19f050d7-0_3:96859000,0.40738499037457,0.3990886955480262,-0.0082962948265438,1.007742640822474,0.6630660852092652,1.327473122146005,0.4975,0.5025,005d0575-f90b-49f2-a5ce-db3f19f050d7-0,3:96859000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011127247750949275
0062a696-c62d-4252-9f0d-d6460dd7c916-0_9:114373000,0.4076885802277953,0.4115774366378406,0.0038888564100453,1.0190670403901958,0.7104339426926882,1.400362197903458,0.525,0.475,0062a696-c62d-4252-9f0d-d6460dd7c916-0,9:114373000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02724896382662182
