target_name	ce	ir	alt3	alt5	alt_end
hSac2	1.0	0.0	0.0	0.0	0.0
YjeF_N	1.0	0.0	0.0	0.0	0.0
UPF0172	1.0	0.0	0.0	0.0	0.0
Trypsin_2	1.0	0.0	0.0	0.0	0.0
Tmemb_14	1.0	0.0	0.0	0.0	0.0
Tim17	1.0	0.0	0.0	0.0	0.0
Thyroglobulin_1	1.0	0.0	0.0	0.0	0.0
TPR_leprecan	1.0	0.0	0.0	0.0	0.0
TECR_N	1.0	0.0	0.0	0.0	0.0
TCTP	1.0	0.0	0.0	0.0	0.0
TAL_FSA	1.0	0.0	0.0	0.0	0.0
TAF10	1.0	0.0	0.0	0.0	0.0
Sod_Cu	1.0	0.0	0.0	0.0	0.0
SUI1	1.0	0.0	0.0	0.0	0.0
SQS_PSY	1.0	0.0	0.0	0.0	0.0
SE	1.0	0.0	0.0	0.0	0.0
Rotamase	1.0	0.0	0.0	0.0	0.0
Ribosomal_S9	1.0	0.0	0.0	0.0	0.0
Ribosomal_S10	1.0	0.0	0.0	0.0	0.0
Ribosomal_L22	1.0	0.0	0.0	0.0	0.0
Ribosomal_L16	1.0	0.0	0.0	0.0	0.0
Ribosomal_L14e	1.0	0.0	0.0	0.0	0.0
Ribosomal_60s	1.0	0.0	0.0	0.0	0.0
RTC	1.0	0.0	0.0	0.0	0.0
Pyr_redox_2	1.0	0.0	0.0	0.0	0.0
Prefoldin	1.0	0.0	0.0	0.0	0.0
Pre-PUA	1.0	0.0	0.0	0.0	0.0
Peptidase_S10	1.0	0.0	0.0	0.0	0.0
Peptidase_M24	1.0	0.0	0.0	0.0	0.0
PTPLA	1.0	0.0	0.0	0.0	0.0
PHF5	1.0	0.0	0.0	0.0	0.0
PA28_C	1.0	0.0	0.0	0.0	0.0
OSCP	1.0	0.0	0.0	0.0	0.0
Nucleoplasmin	1.0	0.0	0.0	0.0	0.0
Nse4_C	1.0	0.0	0.0	0.0	0.0
NUDIX_2	1.0	0.0	0.0	0.0	0.0
NADHdh_A3	1.0	0.0	0.0	0.0	0.0
Mog1	1.0	0.0	0.0	0.0	0.0
Med21	1.0	0.0	0.0	0.0	0.0
Malic_M	1.0	0.0	0.0	0.0	0.0
MAPEG	1.0	0.0	0.0	0.0	0.0
Lyase_1	1.0	0.0	0.0	0.0	0.0
Ldl_recept_a	1.0	0.0	0.0	0.0	0.0
LRR_8	1.0	0.0	0.0	0.0	0.0
